theta1,theta2,theta3,x,y,phi
0.67,-3.06,1.1,3.3,-10.23,-73.91
2.4,-0.33,0.94,-22.07,16.85,172.46
0.93,-2.17,0.18,14.12,-10.17,-60.73
1.92,-2.77,-0.76,2.79,-8.11,-92.25
0.27,-0.59,-0.89,22.66,-9.83,-69.33
2.31,-1.16,-0.07,2.06,25.34,61.88
2.72,-0.1,-0.2,-25.3,15.68,138.66
2.57,-1.63,-0.17,4.67,20.45,44.12
0.46,-0.08,0.89,21.21,17.7,72.77
2.2,-0.46,-1.47,2.07,20.61,15.47
3.06,-2.32,0.3,2.48,16.18,59.59
0.26,-1.9,1.36,18.58,-10.17,-16.04
2.06,-2.13,-0.06,15.19,6.83,-7.45
1.23,-0.58,1.04,10.11,25.41,96.83
1.76,-2.28,0.45,16.77,4.15,-4.01
0.9,-0.68,-0.97,23.29,3.2,-42.97
0.47,-2.21,-1.09,-2.29,-8.39,-162.15
1.04,-1.18,1.42,17.83,16.81,73.34
2.44,-0.89,-0.87,0.35,22.74,38.96
2.59,-0.1,-0.94,-16.26,21.3,88.81
0.73,-2.77,-0.65,-6.07,-6.61,-154.13
0.29,-2.85,-1.1,-7.46,2.32,-209.7
3.01,-3.12,0.84,7.48,6.88,41.83
2.64,-0.15,-0.78,-18.11,20.78,97.98
2.51,-1.78,-1.27,7.96,7.43,-30.94
0.16,-3.03,0.78,-4.72,-9.77,-119.75
0.42,-2.07,-1.56,-1.64,-5.21,-183.92
0.33,-2.97,0.56,-4.18,-10.3,-119.18
2.65,-1.28,-0.86,1.91,19.4,29.22
0.84,-1.32,-1.31,13.37,-6.93,-102.56
2.88,-1.14,1.34,-21.32,13.06,176.47
1.82,-0.15,0.74,-10.9,26.32,138.08
3.06,-0.58,1.23,-26.28,1.58,212.57
1.7,-0.54,1.53,-6.29,23.45,154.13
1.6,-1.14,-0.14,18.16,17.58,18.33
2.4,-2.08,0.69,7.44,18.37,57.87
1.58,-2.52,-1.06,1.64,-7.17,-114.59
1.14,-2.2,-0.05,13.51,-8.59,-63.6
1.39,-2.59,1.14,15.4,-0.08,-3.44
2.87,-1.11,0.08,-14.17,22.14,105.42
2.22,-0.47,-0.59,-3.83,26.97,66.46
2.95,-2.6,-0.98,7.66,-0.56,-36.1
3.03,-3.12,0.45,9.38,3.74,20.63
0.55,-0.28,-0.07,27.96,9.88,11.46
2.76,-2.72,0.84,7.08,11.83,50.42
0.25,-2.34,0.55,5.04,-16.2,-88.24
1.07,-3.12,1.19,6.71,-7.68,-49.27
0.44,-0.17,0.32,26.99,12.49,33.8
2.16,-0.82,-0.59,4.05,24.87,42.97
0.08,-1.9,0.83,12.99,-17.25,-56.72
2.39,-1.81,-0.06,9.74,17.28,29.79
1.26,-0.27,-1.38,17.79,14.08,-22.35
3.1,-2.5,-0.51,8.22,6.96,5.16
2.09,-1.85,-0.83,13.06,5.5,-33.8
1.39,-1.83,-1.01,12.05,-4.35,-83.08
0.88,-0.26,-1.14,23.19,8.55,-29.79
1.89,-2.79,-0.85,1.3,-8.18,-100.27
1.7,-1.76,1.05,14.18,17.68,56.72
2.4,-0.65,1.04,-18.54,20.04,159.86
0.24,-1.5,-1.16,5.26,-13.75,-138.66
1.13,-0.66,-0.66,23.0,11.68,-10.89
2.11,-1.44,0.28,8.52,22.93,54.43
3.08,-0.41,0.9,-27.99,1.0,204.55
1.26,-1.69,-1.23,11.26,-4.61,-95.11
2.15,-1.8,-0.19,13.79,13.39,9.17
0.64,-2.29,1.52,17.15,-5.29,-7.45
1.21,-1.69,0.98,21.18,9.53,28.65
2.54,-0.83,-0.47,-6.38,25.02,71.05
1.71,-0.26,-1.47,9.82,19.63,-1.15
0.08,-0.44,-1.01,21.32,-12.52,-78.5
0.02,-0.71,0.67,27.71,-6.37,-1.15
2.63,-0.47,0.28,-21.91,19.66,139.8
3.14,-1.38,0.37,-17.19,18.31,122.04
2.82,-0.97,0.71,-20.6,18.27,146.68
0.37,-1.32,0.09,21.66,-12.1,-49.27
2.83,-3.09,-0.05,9.67,-2.56,-17.76
2.91,-3.0,-1.54,-0.37,-8.59,-93.39
2.51,-1.28,-1.29,5.25,14.73,-3.44
2.74,-0.32,-0.76,-17.6,20.47,95.11
2.96,-2.1,-0.25,4.89,15.11,34.95
1.61,-0.41,-1.27,13.21,18.61,-4.01
2.34,-1.28,0.69,-3.85,25.75,100.27
1.12,-0.85,1.33,13.7,21.66,91.67
2.85,-0.58,-0.98,-13.24,20.14,73.91
1.39,-2.71,1.4,14.25,0.95,4.58
3.01,-0.44,-0.8,-20.3,16.52,101.41
1.03,-0.99,-1.25,18.67,-0.38,-69.33
0.45,-0.08,-0.3,28.3,8.67,4.01
2.78,-1.53,0.67,-9.62,22.42,110.01
1.51,-1.02,-0.32,19.29,16.38,9.74
1.38,-2.83,0.88,11.52,-5.5,-32.66
0.35,-2.39,-1.29,-4.95,-3.62,-190.79
1.31,-1.69,-0.84,15.3,-3.44,-69.9
3.14,-0.31,-0.27,-27.87,8.58,146.68
0.75,-2.77,1.23,10.01,-9.3,-45.26
0.75,-1.4,0.42,25.01,-1.52,-13.18
0.95,-0.66,-1.19,21.62,3.16,-51.57
2.7,-1.95,1.26,-5.98,20.14,115.16
2.38,-1.32,1.3,-9.45,22.67,135.22
2.9,-1.29,0.27,-13.14,21.91,107.72
2.98,-2.37,-0.32,7.91,10.2,16.62
0.42,-2.42,-0.87,-4.66,-7.7,-164.44
1.54,-3.02,0.83,9.18,-6.02,-37.24
1.6,-0.82,-0.03,14.13,23.84,42.97
3.06,-1.94,0.79,-8.94,19.25,109.43
3.02,-1.02,-0.82,-10.28,19.55,67.61
2.22,-1.24,0.36,1.81,26.01,76.78
0.75,-2.55,-0.21,0.79,-11.97,-115.16
0.53,-0.29,-1.33,22.97,-1.43,-62.45
1.32,-1.39,0.68,20.65,14.72,34.95
1.12,-1.09,0.42,23.36,13.65,25.78
0.48,-2.54,-1.46,-5.12,-0.51,-201.68
1.06,-0.79,-0.75,23.4,6.77,-27.5
2.62,-1.23,0.7,-11.83,23.5,119.75
2.31,-3.0,0.32,10.3,-2.59,-21.2
0.31,-0.96,0.77,27.41,-1.8,6.88
0.69,-0.7,1.23,21.15,15.66,69.9
2.95,-2.38,0.86,0.01,17.2,81.93
0.06,-3.07,1.02,-4.0,-9.85,-114.02
1.4,-3.09,-1.0,-8.49,-4.44,-154.13
1.9,-2.75,-1.12,-0.52,-7.26,-112.87
1.86,-2.29,0.66,15.97,7.7,13.18
1.2,-2.83,0.59,8.09,-9.29,-59.59
2.0,-2.69,0.11,11.92,-2.75,-33.23
1.76,-2.17,-0.56,12.94,-2.41,-55.58
0.25,-0.58,0.37,29.14,-0.37,2.29
1.92,-1.82,0.82,12.59,18.35,52.71
1.54,-2.59,0.49,13.76,-3.99,-32.09
0.11,-0.45,0.11,29.1,-4.52,-13.18
1.62,-0.68,-1.03,15.37,17.16,-5.16
0.27,-1.67,0.96,20.38,-11.45,-25.21
2.59,-3.12,0.9,9.43,3.8,21.2
2.53,-2.86,-1.04,3.27,-7.3,-78.5
2.42,-1.64,1.34,-5.62,22.17,121.47
0.11,-2.01,-0.19,1.74,-17.05,-119.75
1.97,-2.06,0.59,14.85,13.11,28.65
2.99,-1.82,-1.18,4.02,10.62,-0.57
0.52,-2.03,-0.79,2.62,-12.47,-131.78
2.35,-2.73,1.05,10.1,9.62,38.39
2.3,-1.5,-0.99,10.12,12.74,-10.89
0.38,-0.47,-0.24,28.71,-0.43,-18.91
2.84,-1.23,-1.01,-1.69,18.61,34.38
1.36,-2.19,-1.41,2.64,-5.44,-128.34
2.91,-1.94,0.99,-7.87,19.8,112.3
0.25,-1.41,1.2,23.67,-6.29,2.29
0.09,-1.35,0.66,21.27,-14.27,-34.38
1.92,-1.77,1.14,9.24,20.5,73.91
2.1,-0.54,-0.16,-3.24,28.49,80.21
2.28,-1.04,-0.41,3.48,24.43,47.56
2.39,-0.07,-1.24,-9.4,22.97,61.88
0.86,-1.32,0.36,25.43,2.14,-5.73
1.91,-1.21,0.52,7.76,25.26,69.9
0.97,-1.92,-1.46,4.03,-6.57,-138.08
2.57,-0.62,1.54,-21.51,11.29,199.96
0.81,-1.8,-0.05,17.44,-9.74,-59.59
0.36,-1.72,1.48,21.38,-5.06,6.88
1.45,-0.78,-0.24,18.13,20.31,24.64
1.89,-0.84,0.57,1.35,28.16,92.82
0.63,-1.3,0.62,25.91,-0.82,-2.86
0.36,-0.8,0.34,28.36,-1.73,-5.73
0.69,-1.5,0.53,24.22,-3.64,-16.04
1.77,-2.68,-0.3,7.69,-7.45,-69.33
0.61,-1.22,0.66,26.38,0.5,2.86
0.41,-2.31,-0.89,-3.45,-8.92,-159.86
3.0,-0.9,-0.0,-20.0,18.68,120.32
0.41,-2.13,1.23,16.51,-10.61,-28.07
2.23,-1.63,0.48,6.84,22.37,61.88
1.15,-0.76,-0.58,23.15,11.04,-10.89
0.17,-0.71,-0.99,18.84,-13.44,-87.66
3.11,-0.09,1.24,-24.29,-7.47,244.08
2.27,-2.16,0.72,10.25,16.13,47.56
2.37,-1.46,-0.14,6.15,21.83,44.12
2.93,-2.47,-1.09,7.26,0.65,-36.1
2.88,-0.66,0.56,-25.06,14.09,159.28
2.12,-2.35,1.34,8.96,15.21,63.6
2.78,-1.24,0.09,-9.64,23.52,93.39
0.38,-2.29,1.37,14.54,-10.86,-30.94
3.11,-1.83,0.78,-11.83,18.72,118.03
1.28,-1.93,0.63,20.83,3.33,-1.15
1.9,-1.95,-0.32,16.08,5.35,-21.2
2.27,-1.13,0.48,-2.75,26.73,92.82
1.91,-1.28,-1.57,10.65,7.25,-53.86
1.73,-0.96,-1.57,12.56,9.66,-45.84
1.91,-1.07,1.12,-0.45,26.13,112.3
2.63,-1.5,1.05,-10.18,22.14,124.9
2.84,-0.11,1.2,-25.76,-0.12,225.17
2.36,-0.21,-1.38,-5.39,22.37,44.12
1.5,-1.92,0.65,19.57,8.18,13.18
0.35,-0.02,0.12,27.86,11.02,25.78
1.58,-2.5,0.17,13.28,-4.77,-42.97
2.24,-2.81,-0.64,5.75,-6.91,-69.33
2.38,-1.82,1.12,0.15,22.15,96.26
2.09,-0.62,-0.5,1.7,26.88,55.58
1.81,-0.72,0.38,3.26,28.53,84.22
2.66,-1.97,-1.35,6.75,4.87,-37.82
0.43,-1.05,0.82,27.03,0.35,11.46
1.82,-0.91,-1.23,13.16,14.44,-18.33
0.86,-2.57,0.7,10.46,-10.79,-57.87
1.2,-1.39,0.12,23.42,6.73,-4.01
0.3,-0.89,-0.34,23.84,-10.62,-53.29
2.53,-2.45,0.1,11.62,8.33,10.31
0.43,-2.26,1.45,15.81,-9.21,-21.77
2.94,-0.06,-1.24,-20.15,14.56,93.97
1.96,-1.27,-1.25,12.39,10.31,-32.09
0.45,-2.0,-1.28,-0.31,-8.71,-162.15
0.25,-1.87,0.45,13.1,-16.72,-67.04
2.39,-1.79,1.22,-1.52,22.17,104.28
0.05,-2.93,-1.19,-5.66,5.92,-233.19
0.95,-0.68,0.64,21.59,18.7,52.14
0.6,-0.14,1.46,13.79,19.48,110.01
2.92,-1.37,-0.05,-8.84,22.17,85.94
0.37,-1.62,-0.39,11.79,-15.85,-93.97
0.46,-0.55,-1.27,21.01,-6.24,-77.92
0.92,-0.3,0.8,15.7,23.65,81.36
1.67,-1.17,-1.17,15.62,8.54,-38.39
0.21,-1.05,-0.65,17.26,-15.33,-85.37
2.36,-0.02,1.5,-21.71,7.8,220.02
0.39,-2.74,-1.01,-7.54,-1.15,-192.51
1.85,-2.67,-0.04,10.59,-5.28,-49.27
1.13,-0.93,0.91,18.51,19.99,63.6
1.11,-1.84,0.39,21.33,-1.05,-19.48
0.87,-0.21,-0.87,24.13,11.69,-12.03
0.06,-0.53,-0.84,21.48,-13.59,-75.06
1.49,-0.15,1.23,-5.32,25.11,147.25
0.63,-0.04,-0.22,25.71,15.07,21.2
0.41,-2.27,0.75,10.77,-14.56,-63.6
1.83,-1.37,0.37,13.15,21.48,47.56
2.63,-1.34,1.5,-15.34,17.95,159.86
0.3,-2.04,1.55,17.69,-8.79,-10.89
1.69,-2.6,1.14,14.68,4.31,13.18
1.66,-2.11,-0.37,14.94,-1.7,-46.98
2.8,-2.78,-0.25,10.31,1.27,-13.18
1.05,-0.5,0.65,17.12,23.22,68.75
2.8,-2.42,0.66,4.93,15.68,59.59
1.49,-0.83,1.52,2.98,24.3,124.9
1.38,-1.44,-1.23,14.65,-0.39,-73.91
0.66,-1.93,0.95,20.36,-6.57,-18.33
1.95,-1.53,-1.48,10.32,4.64,-60.73
1.64,-1.38,0.43,16.68,18.91,39.53
1.83,-1.62,1.07,10.08,21.33,73.34
1.28,-0.11,0.18,8.96,28.54,77.35
1.06,-0.39,0.33,18.13,23.35,57.3
2.75,-2.44,0.3,8.48,12.6,34.95
0.6,-0.01,0.02,24.76,16.94,34.95
3.12,-2.35,-0.95,7.02,5.39,-10.31
2.54,-2.61,-1.47,2.04,-5.04,-88.24
2.32,-0.35,0.51,-18.59,22.68,142.09
0.5,-1.21,-0.96,15.37,-11.67,-95.68
2.7,-1.5,-1.57,3.91,9.98,-21.2
2.32,-2.98,1.21,9.61,6.42,31.51
1.87,-1.77,-1.4,9.68,0.92,-74.48
0.51,-1.11,-0.55,21.07,-9.89,-65.89
1.4,-1.11,0.1,20.53,16.52,22.35
0.83,-0.46,-0.89,24.75,6.03,-29.79
0.1,-1.92,-0.77,-1.03,-13.93,-148.4
2.51,-2.68,-0.46,9.87,-1.68,-36.1
0.02,-1.51,-0.84,3.92,-17.02,-133.5
0.99,-0.89,-0.88,22.55,2.33,-44.69
0.34,-1.69,0.35,17.02,-14.84,-57.3
1.85,-3.08,0.79,9.63,-4.07,-25.21
0.29,-1.14,0.87,26.18,-4.45,1.15
2.89,-2.27,-0.05,6.87,13.7,32.66
1.52,-1.34,-0.64,19.31,7.34,-26.36
1.63,-2.95,0.6,9.41,-6.3,-41.25
1.98,-2.83,0.46,11.87,-2.14,-22.35
0.45,-1.89,1.14,19.86,-8.52,-17.19
2.55,-2.68,0.25,11.54,5.48,6.88
0.67,-1.11,-0.89,19.27,-7.76,-76.2
2.9,-3.02,-1.0,4.58,-7.81,-64.17
0.04,-2.39,-0.78,-7.03,-6.83,-179.34
2.01,-1.75,-0.01,15.1,14.1,14.32
1.76,-2.1,1.01,15.38,12.7,38.39
2.07,-1.25,1.26,-2.84,24.82,119.18
1.22,-2.96,0.75,7.24,-8.83,-56.72
1.81,-1.37,-0.05,15.93,17.78,22.35
1.0,-0.92,-1.05,21.02,0.96,-55.58
2.81,-0.0,0.56,-28.65,4.25,193.09
2.35,-2.79,1.32,8.39,10.56,50.42
0.55,-3.04,0.32,-5.07,-9.1,-124.33
1.61,-1.13,-1.42,14.38,6.53,-53.86
1.96,-0.87,-1.37,10.44,15.35,-16.04
1.43,-0.39,1.2,0.26,26.37,128.34
0.29,-0.34,-0.37,28.7,-1.72,-24.06
1.79,-2.6,1.34,13.35,7.57,30.37
2.15,-2.24,0.94,11.09,14.98,48.7
1.24,-1.43,-0.79,18.64,-0.74,-56.15
1.7,-1.83,-1.14,11.59,-0.93,-72.77
2.55,-0.41,0.94,-23.67,14.62,176.47
1.27,-0.68,-1.29,18.92,8.67,-40.11
3.14,-3.13,1.36,1.99,9.92,78.5
2.55,-1.83,0.41,3.48,21.21,64.74
3.11,-2.8,0.98,2.3,12.97,73.91
0.93,-2.92,1.48,10.64,-6.0,-29.22
0.67,-2.94,-1.34,-7.52,3.07,-206.84
0.7,-1.34,0.46,25.51,-1.32,-10.31
2.05,-2.35,0.9,13.2,11.56,34.38
0.57,-0.08,-0.16,26.7,13.34,18.91
0.27,-0.22,-0.93,26.0,-4.54,-50.42
0.26,-2.27,-1.56,-3.68,-2.33,-204.55
0.09,-0.73,0.22,27.11,-9.15,-24.06
1.97,-0.26,1.23,-15.07,21.12,168.45
1.28,-2.55,1.45,15.67,1.82,10.31
2.69,-0.25,0.17,-25.26,15.89,149.54
2.09,-1.74,1.24,4.24,22.11,91.1
0.59,-1.32,1.1,25.08,2.51,21.2
2.27,-0.72,0.18,-7.81,27.52,99.12
3.0,-2.0,-0.74,5.17,12.4,14.9
0.91,-2.84,0.02,-0.71,-10.9,-109.43
1.88,-3.12,-0.95,-5.6,-8.08,-125.48
1.47,-2.91,1.51,12.29,0.73,4.01
2.13,-2.5,-1.31,2.93,-5.08,-96.26
1.51,-2.05,-1.42,5.39,-4.41,-112.3
2.46,-0.03,-1.49,-9.44,20.91,53.86
1.5,-1.47,1.36,12.5,20.11,79.64
1.54,-0.62,0.91,3.8,27.62,104.85
2.18,-0.46,0.04,-9.09,27.91,100.84
1.57,-1.74,-0.12,19.45,5.45,-16.62
1.06,-2.5,0.21,9.54,-10.62,-70.47
0.78,-2.29,0.07,9.02,-12.86,-82.51
1.55,-0.74,-0.9,17.06,16.34,-5.16
1.45,-0.45,-1.06,16.59,17.74,-3.44
1.49,-2.23,0.35,17.44,-0.58,-22.35
0.39,-1.63,1.42,22.34,-3.87,10.31
0.08,-3.02,-0.59,-9.08,2.58,-202.25
2.26,-1.3,0.17,3.64,24.95,64.74
1.27,-2.05,0.69,20.03,1.62,-5.16
2.47,-2.39,0.4,11.01,11.64,27.5
2.62,-2.22,0.37,7.72,15.84,44.12
0.25,-1.48,0.9,22.49,-10.19,-18.91
0.51,-1.63,0.42,20.73,-10.56,-40.11
0.62,-0.35,1.28,17.98,18.48,88.81
1.24,-3.03,0.32,2.08,-10.25,-84.22
1.25,-2.0,0.21,19.05,-2.47,-30.94
1.69,-2.62,-0.69,4.3,-8.08,-92.82
1.11,-1.39,-0.01,23.64,3.33,-16.62
0.22,-2.55,-1.38,-5.55,0.31,-212.57
2.2,-1.6,0.38,7.94,22.04,56.15
0.05,-2.34,-0.91,-6.58,-6.44,-183.35
2.66,-1.56,-0.66,4.72,17.8,25.21
2.9,-2.25,1.13,-3.83,18.23,101.99
2.33,-1.32,1.07,-6.44,24.45,119.18
0.48,-2.97,-1.45,-6.06,5.72,-225.75
2.98,-2.3,-1.17,6.73,3.19,-28.07
2.62,-2.46,-0.14,11.2,6.78,1.15
1.32,-2.92,-0.66,-4.17,-8.03,-129.49
0.51,-3.04,-0.35,-9.12,-3.45,-165.01
1.72,-0.3,0.96,-7.22,26.68,136.36
1.82,-0.53,-0.12,4.21,28.51,67.04
1.49,-1.65,-0.24,19.89,4.48,-22.92
1.7,-0.33,0.6,-3.18,28.93,112.87
1.13,-1.31,-1.26,15.41,-2.66,-82.51
1.13,-1.65,0.17,22.34,0.65,-20.05
0.27,-0.93,-1.45,12.4,-12.05,-120.89
0.7,-1.87,-1.12,4.96,-10.29,-131.21
0.93,-1.63,0.37,23.09,-1.67,-18.91
1.83,-0.67,-0.95,11.21,20.92,12.03
2.57,-1.36,0.01,-1.44,24.16,69.9
0.72,-2.75,1.26,10.26,-9.33,-44.12
0.47,-2.71,1.47,9.89,-10.28,-44.12
3.03,-1.34,-0.78,-4.99,18.94,52.14
2.32,-1.9,-0.67,12.01,8.93,-14.32
0.36,-2.15,1.23,15.66,-11.55,-32.09
2.96,-0.14,-0.08,-28.53,8.88,156.99
1.38,-0.19,0.94,0.31,27.58,122.04
0.64,-2.55,-0.35,-1.67,-11.18,-129.49
1.77,-2.32,0.54,16.55,4.48,-0.57
1.68,-0.1,-0.17,0.42,29.81,80.79
2.37,-2.62,-1.0,5.67,-4.99,-71.62
1.77,-2.5,-0.45,9.28,-6.11,-67.61
0.46,-2.76,-0.6,-7.41,-5.41,-166.16
1.41,-0.29,-0.14,11.53,27.18,56.15
2.83,-2.71,1.19,2.99,13.92,75.06
1.28,-2.78,-1.34,-5.97,-3.37,-162.72
0.28,-2.17,0.15,4.79,-16.59,-99.69
0.93,-2.38,-0.05,7.89,-11.89,-85.94
0.03,-0.04,-1.54,20.2,-9.8,-88.81
2.06,-1.57,-1.22,11.58,6.86,-41.83
0.38,-2.45,0.46,4.11,-15.06,-92.25
2.34,-1.06,0.63,-7.42,26.2,109.43
2.56,-1.55,1.44,-10.74,20.34,140.37
2.02,-2.43,-0.69,9.36,-3.89,-63.03
1.37,-0.5,-0.46,17.61,21.43,23.49
0.57,-2.48,-1.12,-4.85,-5.15,-173.61
2.21,-1.61,1.07,1.3,23.62,95.68
0.36,-0.71,0.11,28.47,-2.28,-13.75
0.94,-2.04,-0.57,9.44,-10.79,-95.68
1.11,-0.66,1.56,9.2,22.36,115.16
2.95,-0.2,-0.79,-22.85,14.97,112.3
0.37,-0.21,0.81,24.85,13.46,55.58
1.43,-3.0,0.26,3.99,-9.76,-75.06
2.33,-0.47,0.66,-17.86,22.66,144.39
1.48,-1.18,1.28,10.37,22.91,90.53
2.84,-0.43,0.87,-26.89,8.27,187.93
0.53,-0.53,0.6,26.88,10.7,34.38
0.72,-2.99,1.49,8.19,-8.09,-44.69
2.81,-0.08,-0.38,-25.65,14.37,134.65
2.83,-0.72,0.14,-20.93,19.43,128.92
2.06,-2.96,0.55,10.91,-2.44,-20.05
1.64,-2.69,1.39,13.71,4.64,19.48
1.54,-1.13,-0.34,19.45,14.68,4.01
1.75,-0.64,-0.15,8.4,26.99,55.0
1.11,-0.87,1.34,14.07,21.33,90.53
0.64,-2.67,-1.05,-6.39,-3.61,-176.47
2.45,-1.59,-1.22,8.18,10.43,-20.63
2.33,-1.74,-0.61,11.42,12.62,-1.15
2.02,-2.01,-0.62,13.85,3.38,-34.95
1.49,-1.04,-0.62,19.67,12.63,-9.74
0.67,-1.95,-0.12,12.41,-13.22,-80.21
1.52,-0.59,-1.52,14.8,12.44,-33.8
2.43,-2.85,-1.38,-0.71,-7.29,-103.13
0.53,-0.72,0.5,27.97,6.22,17.76
1.36,-1.4,-1.27,14.66,-0.28,-75.06
0.63,-3.01,-0.47,-8.73,-3.88,-163.29
0.19,-1.74,-0.23,7.95,-17.89,-101.99
2.99,-2.72,0.0,9.39,6.84,15.47
1.91,-1.68,-0.91,14.19,5.42,-38.96
1.54,-3.09,-0.2,-1.27,-9.84,-100.27
2.69,-0.41,1.57,-23.1,5.45,220.59
0.52,-1.46,0.7,24.29,-5.48,-13.75
1.61,-0.7,1.56,-2.08,24.11,141.52
0.51,-1.4,0.6,24.6,-5.75,-16.62
0.37,-0.52,0.73,27.58,7.6,33.23
3.05,-0.91,-1.15,-9.86,17.7,56.72
2.58,-2.08,0.71,3.84,19.48,69.33
2.07,-0.15,-0.34,-8.3,28.18,90.53
0.91,-0.52,0.21,23.64,17.34,34.38
2.48,-2.9,0.3,11.17,0.87,-6.88
2.63,-0.54,-0.66,-12.28,23.48,81.93
0.85,-3.05,-0.61,-8.74,-3.83,-161.0
2.38,-1.15,1.03,-10.25,24.04,129.49
1.17,-1.02,0.27,22.92,14.78,24.06
0.96,-0.41,0.37,20.32,21.37,52.71
1.33,-1.31,-0.66,20.4,3.94,-36.67
2.63,-2.99,1.21,7.24,8.89,48.7
2.83,-0.5,-0.66,-17.39,20.27,95.68
0.8,-2.45,0.62,11.32,-11.37,-59.01
2.53,-1.29,-0.48,2.31,22.09,43.54
2.47,-2.8,-0.92,4.79,-6.51,-71.62
2.9,-2.9,-1.26,3.35,-7.13,-72.19
1.96,-0.13,1.09,-16.11,21.12,167.3
0.28,-2.51,1.21,8.72,-13.66,-58.44
2.73,-1.94,1.26,-6.74,19.98,117.46
2.81,-1.52,1.36,-15.5,17.58,151.83
1.02,-2.66,-0.66,-2.12,-8.91,-131.78
1.21,-1.3,-0.36,22.49,4.11,-25.78
1.26,-2.77,-1.52,-6.27,-1.57,-173.61
1.41,-1.11,-0.57,20.79,10.16,-15.47
2.03,-2.7,-1.32,-0.66,-6.38,-114.02
2.54,-3.09,-1.07,-0.21,-9.56,-92.82
2.84,-1.17,0.54,-16.5,20.95,126.62
2.48,-2.1,-0.6,11.16,7.67,-12.61
2.04,-1.61,-1.16,12.02,6.42,-41.83
0.23,-1.03,-0.22,21.94,-13.41,-58.44
2.91,-2.32,0.91,-0.72,17.83,85.94
0.05,-0.81,1.49,24.69,0.28,41.83
1.66,-0.57,-0.07,8.97,27.35,58.44
2.57,-1.14,-0.02,-5.41,25.18,80.79
